p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,RUNTIME,elapsed_sec
float,64,-reorder,-a2av,-p2p, ,-r2c_dir 0, ,-outgrid 1 1 2,6,-37.785,827.2848122119904
float,64, ,-a2av,-p2p, , ,-ingrid 2 1 1,-outgrid 1 1 2,2,-34.9525,828.4564690589905
float,64, , ,-p2p, ,-r2c_dir 0, ,-outgrid 1 2 1,2,-39.9272,829.6029870510101
float,64, ,-a2av,-p2p, ,-r2c_dir 0,-ingrid 2 1 1,-outgrid 2 1 1,6,-35.1924,830.7671990394592
float,64, , ,-p2p, ,-r2c_dir 0, ,-outgrid 2 1 1,6,-39.1714,831.9347121715546
float,64, , ,-p2p,-slabs,-r2c_dir 0,-ingrid 1 1 2,-outgrid 1 2 1,2,-33.9907,833.1294071674347
float,512, , ,-p2p, ,-r2c_dir 0, , ,4,-28.4405,842.8825132846832
float,64, , ,-p2p,-pencils,-r2c_dir 1, ,-outgrid 1 2 1,6,-36.1911,844.0497601032257
float,64, , ,-p2p,-pencils,-r2c_dir 0, ,-outgrid 1 2 1,2,-39.4861,845.208309173584
float,64,-reorder, ,-p2p,-pencils,-r2c_dir 0, ,-outgrid 2 1 1,6,-39.1975,846.3912861347198
float,64, ,-a2a,-p2p,-pencils,-r2c_dir 0, ,-outgrid 1 1 2,4,-38.1146,847.5703721046448
p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,RUNTIME,elapsed_sec
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,-ingrid 1 2 2,-outgrid 1 2 2,4,-55.3436,4.405195951461792
float,128, , , , , , , ,8,-50.9606,4.461570978164673
float,128,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0, , ,4,-49.3779,4.974637031555176
float,256,-reorder,-a2av, , ,-r2c_dir 2, ,-outgrid 2 1 2,2,-41.3526,5.875639915466309
float,256,-reorder,-a2a,-p2p_pl,-slabs, , ,-outgrid 2 2 1,2,-47.6077,6.7375288009643555
double,64,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,-ingrid 1 2 2,-outgrid 2 1 2,8,-41.6248,7.106165885925293
double,256, ,-a2a, ,-pencils,-r2c_dir 0,-ingrid 1 2 2,-outgrid 2 1 2,4,-34.6643,8.701595783233643
double,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,-ingrid 2 1 2,-outgrid 2 1 2,4,-31.5939,9.690083742141724
float,512,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,-ingrid 1 2 2, ,6,-22.8095,20.437846899032593
float,256,-reorder,-a2av, ,-slabs,-r2c_dir 1, ,-outgrid 4 1 1,2,-36.6897,23.94669270515442
float,64, ,-a2av,-p2p,-pencils, , ,-outgrid 1 2 2,6,-44.2977,26.02068591117859
double,64,-reorder,-a2av,-p2p,-pencils, , , ,6,-37.9797,27.90277075767517
float,1024, ,-a2av,-p2p,-pencils,-r2c_dir 0, , ,4,200.0,280.01334381103516
float,512,-reorder, ,-p2p, , ,-ingrid 2 1 2, ,4,-35.3198,288.92762899398804
float,64,-reorder,-a2a,-p2p,-pencils, , , ,6,-47.0448,290.2928628921509
float,64,-reorder, ,-p2p,-pencils, ,-ingrid 1 2 2, ,6,-45.085,291.68308877944946
float,64,-reorder,-a2av,-p2p,-pencils, ,-ingrid 2 1 2,-outgrid 2 2 1,8,-53.1612,292.99832797050476
float,64,-reorder,-a2av,-p2p,-pencils, ,-ingrid 1 2 2,-outgrid 2 2 1,6,-59.0414,294.2882926464081
float,64,-reorder, ,-p2p,-pencils, ,-ingrid 1 2 2,-outgrid 2 2 1,4,-28.6844,295.88335371017456
float,64,-reorder,-a2av,-p2p, ,-r2c_dir 0,-ingrid 4 1 1,-outgrid 1 2 2,6,-32.5286,299.6519148349762
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,-ingrid 2 2 1,-outgrid 2 1 2,6,-36.7263,301.5115978717804
float,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0, ,-outgrid 2 2 1,8,-40.6197,310.0202329158783
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0, , ,4,-46.728,311.557856798172
float,64, ,-a2av, ,-pencils, ,-ingrid 1 2 2,-outgrid 1 2 2,6,-47.5665,312.97068071365356
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0, , ,8,-47.7687,314.4059498310089
float,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0, , ,6,-43.5097,317.0137767791748
float,128,-reorder,-a2av,-p2p,-pencils, ,-ingrid 1 2 2, ,8,-36.442,318.6814799308777
float,64, ,-a2av,-p2p,-pencils, ,-ingrid 1 2 2,-outgrid 1 2 2,8,-56.7002,320.4358320236206
float,64, ,-a2av,-p2p,-pencils, ,-ingrid 1 2 2,-outgrid 2 1 2,8,-39.1714,322.10130977630615
float,64, ,-a2av,-p2p,-pencils, ,-ingrid 2 2 1,-outgrid 1 2 2,6,-36.7721,323.601548910141
